Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self               self     total           
 time   seconds   seconds     calls   s/call   s/call  name    
  0.32      2.98     0.01   6453158     0.00     0.00  std::vector<tile, std::allocator<tile> >::vector()
  0.32      2.99     0.01   5771711     0.00     0.00  wordScore::~wordScore()
  0.32      3.00     0.01   4597181     0.00     0.00  void std::__relocate_object_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.32      3.01     0.01   3805476     0.00     0.00  std::remove_reference<std::vector<tile, std::allocator<tile> >&>::type&& std::move<std::vector<tile, std::allocator<tile> >&>(std::vector<tile, std::allocator<tile> >&)
  0.32      3.02     0.01   3341391     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.32      3.03     0.01   3190573     0.00     0.00  evaluateWord(std::vector<tile, std::allocator<tile> > const&, int*, float)
  0.32      3.04     0.01   3190573     0.00     0.00  std::abs(float)
  0.32      3.05     0.01   3190573     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.32      3.06     0.01   3190573     0.00     0.00  void std::_Destroy<std::vector<tile, std::allocator<tile> > >(std::vector<tile, std::allocator<tile> >*)
  0.32      3.07     0.01   2675783     0.00     0.00  __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >::operator*() const
  0.32      3.08     0.01   1423332     0.00     0.00  __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >::base() const
  0.32      3.09     0.01   1052693     0.00     0.00  std::remove_reference<wordScore&>::type&& std::move<wordScore&>(wordScore&)
  0.32      3.10     0.01    340441     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.32      3.11     0.01     47005     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.32      3.12     0.01      5500     0.00     0.00  std::vector<tile, std::allocator<tile> >::_M_default_initialize(unsigned long)
  0.32      3.13     0.01         1     0.01     0.01  readWords(char const*, int*)
  0.00      3.13     0.00  26338070     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.13     0.00  23489152     0.00     0.00  std::vector<tile, std::allocator<tile> >::_S_relocate(tile*, tile*, tile*, std::allocator<tile>&)
  0.00      3.13     0.00  20279070     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_M_allocate(unsigned long)
  0.00      3.13     0.00  19165408     0.00     0.00  std::vector<tile, std::allocator<tile> >::~vector()
  0.00      3.13     0.00  18822645     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      3.13     0.00  17125576     0.00     0.00  __gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > > std::__miter_base<__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > > >(__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >)
  0.00      3.13     0.00  16982116     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      3.13     0.00  11783872     0.00     0.00  std::vector<tile, std::allocator<tile> >::begin()
  0.00      3.13     0.00   8562811     0.00     0.00  tile* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<tile>(tile const*, tile const*, tile*)
  0.00      3.13     0.00   8562789     0.00     0.00  tile* std::__copy_move_a1<false, tile const*, tile*>(tile const*, tile const*, tile*)
  0.00      3.13     0.00   8562789     0.00     0.00  tile* std::__copy_move_a2<false, tile const*, tile*>(tile const*, tile const*, tile*)
  0.00      3.13     0.00   8529016     0.00     0.00  tile* std::__niter_wrap<tile*>(tile* const&, tile*)
  0.00      3.13     0.00   8528993     0.00     0.00  tile* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, tile*>(__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, __gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, tile*)
  0.00      3.13     0.00   8528993     0.00     0.00  tile* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, tile*, tile>(__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, __gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >, tile*, std::allocator<tile>&)
  0.00      3.13     0.00   8462982     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_M_create_storage(unsigned long)
  0.00      3.13     0.00   6494274     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00      3.13     0.00   6453158     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_base()
  0.00      3.13     0.00   6381146     0.00     0.00  std::vector<std::vector<tile, std::allocator<tile> >, std::allocator<std::vector<tile, std::allocator<tile> > > >::operator[](unsigned long)
  0.00      3.13     0.00   6381146     0.00     0.00  std::vector<tile, std::allocator<tile> >* std::__addressof<std::vector<tile, std::allocator<tile> > >(std::vector<tile, std::allocator<tile> >&)
  0.00      3.13     0.00   4597181     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
